_id,Time,GDP Constant Prices,Non market economic activities,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,Construction,Services
67a212ae3af2f043a63a469e,1996-01-01,352829.7,59034.4,7951.5,509.3,68099,22582.2,241656.9
67a212ae3af2f043a63a469f,1996-04-01,353560,59289.5,8066.1,519,68195.8,23109.2,241909.3
67a212ae3af2f043a63a46a0,1996-07-01,354115,59352.4,8329.8,532.1,68279.7,22993.4,242171.6
67a212ae3af2f043a63a46a1,1996-10-01,352735.3,59411,7962.2,539.4,67302.2,22404,242903.1
67a212ae3af2f043a63a46a2,1997-01-01,353475.6,58944.7,8214.4,571.6,66963.4,22216.8,243859.4
67a212ae3af2f043a63a46a3,1997-04-01,358668.2,58957.2,8108.5,584.7,69233.8,21984.2,246887.7
67a212ae3af2f043a63a46a4,1997-07-01,359845.1,59400.6,8116.2,575.4,69062.5,22011.6,248347.5
67a212ae3af2f043a63a46a5,1997-10-01,365344.8,59974.6,8618.2,570.6,69947,22854.4,251370.9
67a212ae3af2f043a63a46a6,1998-01-01,363248.9,60212.3,8412.2,542.8,69568.2,22081.9,250640.1
67a212ae3af2f043a63a46a7,1998-04-01,365411,60718.1,8651.2,533,70068.9,21980.3,251959.6
67a212ae3af2f043a63a46a8,1998-07-01,365410.7,61123.3,8714,520.9,69153.1,21806.7,252986
67a212ae3af2f043a63a46a9,1998-10-01,364179.2,61284.5,8135,510.5,68535.7,21872.7,253039.9
67a212ae3af2f043a63a46aa,1999-01-01,365956,60830.5,8635.6,528.8,68477.1,22010,254016.7
67a212ae3af2f043a63a46ab,1999-04-01,367126.2,61009.7,8836,511.7,67935.6,21971,255755.6
67a212ae3af2f043a63a46ac,1999-07-01,371093.4,61268.7,9035.6,514.7,69408.9,21939.7,257709.3
67a212ae3af2f043a63a46ad,1999-10-01,376460.5,61460.4,9294.8,542.2,70315.8,22171.7,261564
67a212ae3af2f043a63a46ae,2000-01-01,381466.9,61696.4,9277.4,606.3,70881.2,22619,265537.4
67a212ae3af2f043a63a46af,2000-04-01,383741.2,62202.2,9144.3,645.4,71888.6,22900.5,266531.1
67a212ae3af2f043a63a46b0,2000-07-01,387337.5,62603.1,9020.1,656.8,72484.8,23296.2,269386.5
67a212ae3af2f043a63a46b1,2000-10-01,390969.5,63181.6,8653.3,616.3,72585.7,23185.9,273718.1
67a212ae3af2f043a63a46b2,2001-01-01,393678.5,63699.1,8874.3,569.8,72145.7,23765,276350.5
67a212ae3af2f043a63a46b3,2001-04-01,393455.8,64309.7,8690.9,546.6,72122,24270.5,275983.9
